,duration_ms,explicit,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
535,250760,1,0.637,0.678,-3.798,0.266,0.209,0.0,0.156,0.254,84.039,hip hop
537,244999,0,0.76,0.891,-5.852,0.0372,0.0229,0.0869,0.298,0.966,120.264,hip hop
547,239586,0,0.437,0.589,-4.834,0.0331,0.231,0.0,0.0768,0.165,133.631,pop
549,233400,1,0.672,0.814,-3.768,0.27,0.258,0.0,0.164,0.379,97.043,hip hop
562,238053,1,0.794,0.614,-5.352,0.0467,0.0964,0.0,0.0788,0.663,80.569,hip hop
573,241066,0,0.129,0.358,-6.596,0.0314,0.631,0.0,0.0886,0.172,75.048,pop
577,219600,0,0.286,0.508,-5.966,0.0336,0.372,0.0,0.27,0.14,68.637,pop
587,204173,0,0.598,0.4,-10.054,0.0241,0.459,0.0,0.151,0.369,96.938,pop
589,296880,1,0.52,0.768,-3.489,0.359,0.0193,0.00034,0.104,0.398,79.178,hip hop
602,242733,1,0.967,0.583,-5.562,0.0789,0.0584,0.0,0.0519,0.964,117.0,pop
611,281880,0,0.589,0.877,-6.229,0.046,0.00121,0.013,0.169,0.443,132.971,pop
619,274440,1,0.963,0.643,-5.785,0.117,0.0507,4.94e-05,0.157,0.534,107.005,hip hop
623,209666,0,0.741,0.869,-6.534,0.0816,0.096,0.0,0.0396,0.839,126.069,pop
629,286186,1,0.833,0.628,-7.041,0.141,0.0949,1.6e-06,0.282,0.645,106.328,hip hop
631,223066,0,0.5,0.498,-6.087,0.026,0.527,0.0,0.123,0.182,79.798,pop
632,276160,0,0.771,0.68,-5.881,0.224,0.277,1.18e-05,0.682,0.808,119.952,pop
635,202066,0,0.309,0.783,-4.154,0.0405,0.142,1.11e-06,0.118,0.372,175.788,pop
641,197173,1,0.683,0.886,-5.045,0.071,0.000738,0.00188,0.0524,0.566,100.04,pop
642,281320,1,0.618,0.746,-5.476,0.352,0.0553,0.0,0.273,0.75,75.272,hip hop
649,236600,1,0.552,0.846,-4.912,0.342,0.0114,0.0,0.309,0.554,98.56,hip hop
658,244613,0,0.42,0.742,-5.665,0.0375,0.142,0.0,0.145,0.294,149.965,pop
664,196893,1,0.632,0.639,-5.938,0.0259,0.00143,0.0,0.221,0.733,95.506,pop
680,258653,0,0.432,0.261,-12.591,0.0512,0.953,0.00342,0.0903,0.273,89.567,pop
681,228906,0,0.862,0.742,-4.722,0.222,0.00376,0.00855,0.103,0.511,127.91,pop
682,219106,0,0.272,0.203,-9.706,0.0294,0.784,0.0,0.0805,0.172,109.581,pop
683,186173,0,0.489,0.955,-2.771,0.0363,3.82e-05,0.000178,0.334,0.816,129.352,pop
684,167493,0,0.656,0.624,-4.623,0.0691,0.0065,0.0,0.278,0.735,124.082,pop
687,259333,0,0.706,0.8,-6.333,0.0399,0.00584,0.0,0.0822,0.629,100.011,pop
691,262533,0,0.64,0.743,-4.08,0.0379,0.269,0.0,0.101,0.361,122.035,pop
698,208493,0,0.688,0.734,-4.569,0.0274,0.00462,0.0,0.0756,0.46,140.004,pop
702,251240,0,0.788,0.844,-3.131,0.0334,0.25,0.000678,0.0723,0.382,113.324,pop
704,219413,0,0.698,0.844,-4.789,0.0544,0.00253,0.000426,0.124,0.896,105.828,pop
705,232533,0,0.656,0.291,-10.572,0.0293,0.872,0.0,0.114,0.298,103.971,pop
706,448573,0,0.687,0.723,-4.751,0.0709,0.122,0.00102,0.573,0.432,76.0,pop
713,212360,1,0.94,0.743,-5.166,0.0475,0.317,0.0,0.0909,0.932,118.988,pop
719,311866,1,0.617,0.717,-7.858,0.153,0.00564,0.0,0.408,0.49,103.992,hip hop
722,247066,1,0.865,0.45,-9.387,0.0417,0.0359,1.28e-06,0.308,0.352,99.989,pop
725,214386,1,0.709,0.891,-3.688,0.0528,0.00144,0.0,0.034,0.886,141.04,pop
728,271600,1,0.596,0.62,-6.133,0.039,0.0122,0.0,0.82,0.102,80.029,hip hop
735,252973,0,0.606,0.591,-7.228,0.087,0.0756,0.0,0.328,0.477,95.802,pop
739,202066,0,0.309,0.783,-4.154,0.0405,0.142,1.11e-06,0.118,0.372,175.788,pop
741,276160,0,0.771,0.68,-5.881,0.224,0.277,1.18e-05,0.682,0.808,119.952,pop
747,216600,1,0.56,0.959,-2.433,0.102,0.000722,0.000221,0.209,0.669,163.983,pop
760,444333,1,0.859,0.681,-6.247,0.0549,0.34,0.000161,0.213,0.852,121.243,pop
768,211080,1,0.803,0.851,-2.429,0.0357,0.00485,0.000358,0.0577,0.881,113.996,pop
776,232946,0,0.626,0.906,-4.334,0.0403,0.00128,8.52e-06,0.137,0.346,118.035,pop
779,192000,0,0.545,0.932,-2.189,0.0399,0.000665,0.0,0.127,0.464,92.956,pop
780,187733,0,0.675,0.828,-5.799,0.0454,0.0242,0.0102,0.364,0.669,122.229,pop
781,194213,0,0.686,0.789,-4.713,0.23,0.0125,0.0147,0.142,0.72,172.976,pop
783,293066,1,0.801,0.454,-6.035,0.0371,0.225,0.0,0.226,0.34,125.139,pop
784,280026,0,0.72,0.668,-7.928,0.0269,0.0652,0.00664,0.0789,0.768,123.007,pop
789,240493,0,0.457,0.719,-3.921,0.0323,0.191,0.0,0.228,0.168,142.034,pop
791,235173,0,0.673,0.913,-4.981,0.0664,0.0304,0.00298,0.113,0.587,124.484,pop
795,206520,0,0.423,0.94,-4.012,0.0635,0.00166,0.0,0.178,0.505,149.934,pop
796,237760,0,0.357,0.774,-4.226,0.034,0.0376,0.0,0.348,0.348,164.054,pop
801,179640,0,0.699,0.76,-3.173,0.0677,0.00223,0.0,0.132,0.696,129.996,pop
812,190013,0,0.493,0.849,-6.139,0.0576,0.000337,0.00672,0.355,0.483,127.999,hip hop
813,196053,0,0.712,0.911,-3.866,0.0445,0.689,8.02e-06,0.107,0.85,117.533,pop
815,148186,0,0.639,0.976,-5.503,0.354,0.0213,0.0,0.0856,0.354,147.99,pop
816,237506,1,0.639,0.628,-7.578,0.0399,0.0381,0.0,0.386,0.43,90.482,hip hop
817,189693,0,0.753,0.931,-4.922,0.0652,0.00994,0.00696,0.234,0.767,113.029,pop
818,220226,0,0.706,0.841,-3.956,0.0418,7.95e-05,0.0,0.0688,0.861,132.032,pop
821,240746,0,0.83,0.857,-4.194,0.152,0.262,0.0,0.413,0.607,137.982,pop
822,224400,0,0.724,0.695,-5.226,0.0622,0.073,0.0,0.0889,0.235,139.0,pop
826,287906,0,0.837,0.954,-3.512,0.0414,0.0933,0.000405,0.143,0.972,127.019,pop
830,212106,0,0.769,0.638,-5.054,0.216,0.0902,0.0,0.0857,0.782,115.007,pop
835,190453,0,0.692,0.911,-5.098,0.177,0.0149,7.34e-05,0.112,0.801,138.975,pop
836,176453,0,0.645,0.984,-7.051,0.0508,0.164,0.00701,0.164,0.553,144.954,pop
839,210680,0,0.632,0.972,-2.423,0.121,0.121,7.74e-05,0.0317,0.845,87.0,pop
846,203440,0,0.726,0.881,-3.892,0.0391,0.203,0.0,0.108,0.682,110.019,pop
848,203493,1,0.667,0.747,-7.059,0.189,0.337,0.0,0.115,0.918,86.917,hip hop
854,215160,1,0.534,0.87,-3.078,0.0425,0.000334,0.0,0.241,0.462,126.019,pop
855,270306,0,0.76,0.524,-7.67,0.0323,0.0542,0.5,0.112,0.112,119.603,hip hop
877,223853,0,0.492,0.859,-4.274,0.0332,0.0659,0.0,0.0756,0.251,92.474,pop
878,217826,0,0.177,0.425,-6.211,0.0291,0.654,0.0,0.195,0.0942,182.571,pop
883,207000,1,0.439,0.808,-6.881,0.346,0.00305,0.0,0.439,0.487,82.962,hip hop
885,213520,0,0.57,0.664,-4.718,0.0322,0.00836,1.2e-05,0.0719,0.487,162.084,pop
893,175093,0,0.667,0.954,-3.462,0.0817,0.0296,0.0,0.331,0.807,114.03,pop
901,237200,0,0.851,0.806,-4.62,0.0787,0.118,1.64e-06,0.121,0.787,118.999,pop
905,236266,0,0.617,0.741,-3.97,0.0311,0.131,0.0,0.0772,0.306,118.984,pop
907,192360,0,0.791,0.733,-5.215,0.052,0.147,0.000381,0.0713,0.761,114.98,pop
908,216333,0,0.894,0.678,-5.611,0.0523,0.00569,2.43e-06,0.317,0.844,105.024,pop
912,211000,0,0.79,0.647,-5.983,0.136,0.0515,0.0,0.248,0.654,87.999,hip hop
913,221240,0,0.88,0.443,-6.359,0.0653,0.462,7.13e-06,0.122,0.803,138.018,hip hop
914,241933,0,0.822,0.739,-4.541,0.0311,0.0264,4.26e-05,0.181,0.745,118.992,pop
915,216520,0,0.717,0.587,-7.296,0.0339,0.0192,0.0,0.0523,0.544,129.954,pop
922,208306,0,0.762,0.692,-3.973,0.0438,0.113,0.0,0.094,0.397,114.906,pop
923,276920,1,0.491,0.956,-1.538,0.392,0.0295,0.0,0.46,0.811,173.585,hip hop
924,238000,0,0.529,0.948,-3.527,0.0474,0.258,9.35e-06,0.283,0.65,146.024,pop
929,267520,1,0.632,0.924,-1.802,0.29,0.281,0.0,0.263,0.441,86.844,hip hop
930,294573,1,0.696,0.921,-3.755,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001,pop
932,269613,0,0.924,0.853,-1.203,0.0792,0.107,1.45e-06,0.129,0.67,114.003,hip hop
943,297520,1,0.516,0.874,-2.571,0.186,0.0864,0.0,0.173,0.391,169.561,hip hop
944,251440,0,0.614,0.792,-4.907,0.0299,0.0653,0.0,0.195,0.407,91.066,pop
947,196640,0,0.894,0.93,-4.577,0.0712,0.0355,0.0,0.0759,0.968,120.02,pop
951,312986,0,0.74,0.945,-4.442,0.0889,0.123,0.0,0.112,0.629,130.015,pop
952,206480,0,0.67,0.866,-3.684,0.0538,0.0115,0.0,0.358,0.636,140.029,pop
956,270306,0,0.76,0.524,-7.67,0.0323,0.0542,0.5,0.112,0.112,119.603,hip hop
960,201213,1,0.719,0.861,-6.982,0.0402,0.0447,0.00989,0.219,0.948,121.491,pop
969,215866,0,0.691,0.853,-2.528,0.0372,0.0631,7.13e-05,0.082,0.762,145.999,pop
978,226706,0,0.44,0.976,-3.17,0.141,0.00177,3.39e-06,0.16,0.412,150.005,pop
980,224693,0,0.516,0.764,-6.223,0.0366,0.0717,0.0,0.115,0.376,148.021,pop
981,195586,0,0.705,0.783,-5.971,0.0327,0.0703,0.0,0.36,0.656,140.022,pop
983,256613,0,0.23,0.492,-5.767,0.0317,0.568,8.18e-06,0.176,0.262,160.139,pop
984,207120,1,0.661,0.847,-6.948,0.0404,0.419,8.82e-05,0.107,0.522,134.002,pop
988,202066,0,0.652,0.698,-4.667,0.042,0.00112,0.000115,0.0886,0.47,96.021,pop
993,231146,0,0.687,0.771,-4.424,0.0384,0.164,2.46e-05,0.112,0.445,129.964,pop
996,199186,0,0.524,0.878,-3.108,0.0346,0.0012,0.0,0.098,0.59,130.989,pop
